Parameter,Value
level_inf,0
level_sup,1.2
inter,False
step,0.1
lim_inf,-4
lim_sup,4
step_domain,800
dna_length,10
input_size,1
hidden_size,12
output_size,1
epochs,50
lr,0.01
seed,20
pop_size,1200
N_gens,50
set_k,12
cross_method,Crossover_prof
one_point,2
length_per,10
mut_method,Flip_Bit_Mutation
hm_flip,2
hm_swap,2
likely_per,60
mut_per,60
cross_per,1080
Generation,Individual,Genome,Score
0,27,[0.5 0.7 0.2 1.1 0.9 0.2 0.5 0.4 0.4 0.4],0.12550608813762665
0,28,[0.2 0.  0.1 0.6 1.1 0.  0.4 0.1 1.1 0.6],0.12573017179965973
0,29,[0.2 1.  0.1 1.  1.1 0.3 0.6 0.5 1.  0.2],0.12787529453635216
0,30,[0.5 0.7 0.3 0.8 1.1 0.4 0.2 0.3 0.4 0.2],0.1282837614417076
0,31,[1.1 0.3 0.7 1.1 0.9 0.1 0.1 0.5 0.3 1.1],0.12871082872152328
0,32,[0.9 0.6 0.  0.9 0.9 0.3 0.4 0.4 1.  0.3],0.12882305309176445
0,33,[0.1 0.7 0.2 0.7 0.8 0.4 0.  0.6 0.9 0.8],0.129129558801651
0,34,[0.1 0.8 0.5 0.4 1.  0.  0.1 0.2 1.  0.8],0.13156109303236008
0,35,[1.1 0.6 0.9 1.1 0.9 0.2 0.1 1.  0.4 0.1],0.13357368856668472
0,36,[0.9 1.1 0.2 0.  1.1 0.  0.  0.6 0.4 1.1],0.13362634927034378
0,37,[0.5 1.  0.6 1.1 0.6 0.1 0.  1.  0.9 1. ],0.13533132523298264
0,38,[0.6 0.  1.1 1.1 1.1 0.  0.  0.8 0.7 0.2],0.13558126240968704
0,39,[0.5 0.4 0.2 1.  0.9 0.2 0.6 0.7 0.5 0.6],0.13727613538503647
0,40,[0.7 1.  1.  0.5 1.1 0.  0.  0.7 0.2 0.2],0.14000281691551208
0,41,[0.  0.7 0.1 0.9 0.8 0.2 0.  0.  0.3 1. ],0.14173882454633713
0,42,[1.1 0.6 0.6 1.  0.6 0.1 0.2 0.9 0.3 0.2],0.14730800688266754
0,43,[0.8 1.1 0.7 0.5 1.  0.  0.3 0.6 0.4 0.2],0.14965558052062988
0,44,[0.6 0.4 0.1 0.5 1.  0.1 0.3 0.  0.9 1. ],0.1500508189201355
0,45,[0.2 0.1 0.1 1.  0.7 0.6 0.1 1.1 0.8 0.9],0.1505047231912613
0,46,[0.4 1.1 0.5 1.1 0.8 0.4 0.2 0.7 0.2 0.7],0.15194601565599442
0,47,[0.9 0.1 0.8 0.7 0.9 0.1 0.3 0.7 0.4 0.9],0.1529168263077736
0,48,[0.2 0.2 0.7 0.3 0.8 0.1 0.  0.9 1.1 0.2],0.1543535739183426
0,49,[0.5 0.7 0.9 0.4 0.9 0.  0.1 1.  0.3 0. ],0.15776648372411728
0,50,[1.1 0.5 0.2 0.4 1.  0.  0.4 1.  0.7 0.1],0.164284348487854
0,51,[0.7 0.3 0.  0.9 0.9 0.  0.7 0.3 0.6 0.2],0.16469712555408478
0,52,[0.1 0.7 0.3 0.8 0.6 0.  0.3 0.2 0.  0.4],0.16482477635145187
0,53,[0.3 1.1 0.1 0.9 0.3 0.  0.  0.3 0.4 0.8],0.1651369258761406
0,54,[0.6 0.7 0.1 0.5 1.  0.  0.5 0.2 0.7 0.7],0.16520947962999344
0,55,[0.  0.5 0.1 0.8 1.  0.  0.7 0.6 0.7 0.2],0.16695621609687805
0,56,[0.  0.8 0.1 0.3 0.7 0.  0.3 0.1 1.  1. ],0.16738725453615189
0,57,[0.4 1.1 0.1 1.  1.1 0.6 0.4 0.3 0.8 0.4],0.1682598814368248
0,58,[1.  0.1 1.  0.9 1.1 0.6 0.  1.1 0.9 0.5],0.16933606564998627
0,59,[0.7 0.1 0.7 1.  0.9 0.5 0.2 0.8 0.  0.2],0.17025519162416458
0,60,[0.3 0.3 1.1 1.  1.1 0.4 0.3 0.9 0.1 0.7],0.17114011943340302
0,61,[0.5 0.7 0.2 0.4 0.6 0.1 0.2 1.  0.9 0.5],0.17229492217302322
0,62,[1.1 0.  0.  1.1 0.8 0.2 0.6 0.2 1.  0.4],0.17363569140434265
0,63,[0.2 0.  0.6 0.4 0.9 0.2 0.2 0.7 1.1 0.4],0.17420630902051926
0,64,[0.3 1.1 0.4 1.1 1.1 0.8 0.4 0.8 0.8 0.6],0.1744711548089981
0,65,[0.2 0.7 0.6 0.4 1.  0.1 0.1 0.1 0.5 0.2],0.1744886264204979
0,66,[0.5 0.8 0.5 0.8 0.8 0.3 0.  0.3 1.1 0.3],0.17851678282022476
0,67,[1.1 0.  0.2 0.8 0.6 0.5 0.1 1.1 0.3 0.7],0.1796984300017357
0,68,[0.7 1.  0.7 1.1 0.9 0.6 0.1 0.9 0.2 0.3],0.1798737868666649
0,69,[0.3 1.1 0.1 0.8 0.3 0.1 0.  0.4 1.  0.3],0.1803923025727272
0,70,[0.4 0.5 0.  0.7 0.8 0.5 0.3 1.  0.  0.4],0.18065067380666733
0,71,[0.1 0.7 0.1 0.1 1.  0.  0.3 0.6 1.1 1.1],0.1817326843738556
0,72,[0.  0.9 0.6 0.7 1.  0.3 0.5 0.8 1.  1.1],0.1846238672733307
0,73,[0.  0.1 0.  0.9 0.9 0.  0.7 0.  0.8 0.9],0.18533093482255936
0,74,[0.2 0.4 0.2 0.5 0.4 0.1 0.1 0.6 1.1 0.1],0.18583112955093384
0,75,[0.5 0.7 0.  0.7 0.5 0.4 0.1 1.1 0.8 0.3],0.1860715001821518
0,76,[1.1 0.9 0.6 0.5 1.1 0.3 0.  0.1 1.  0.9],0.1894565150141716
0,77,[0.7 0.1 0.5 0.1 0.8 0.2 0.  1.  0.4 0.9],0.1895153820514679
0,78,[0.1 0.1 0.6 0.2 1.1 0.4 0.  0.9 0.  0.6],0.1898190900683403
0,79,[0.9 1.  0.7 1.  0.7 0.3 0.1 0.7 1.1 0.4],0.19013194739818573
0,80,[0.2 0.1 0.2 0.9 1.1 0.6 0.6 0.7 0.8 0.3],0.19052185118198395
0,81,[1.1 0.6 0.  1.1 0.9 0.3 0.8 0.7 1.  0.2],0.1924649104475975
0,82,[0.4 0.6 0.3 1.  0.9 0.2 0.7 0.3 1.  0.1],0.19374600797891617
0,83,[0.4 0.7 0.3 1.1 0.8 0.4 0.6 0.6 0.9 0.4],0.1960219368338585
0,84,[1.  0.3 1.1 0.8 0.9 0.1 0.4 1.  0.7 0.4],0.19698110967874527
0,85,[0.3 0.  0.9 0.9 1.  0.6 0.2 0.9 0.1 0.3],0.1974690854549408
0,86,[0.4 0.4 0.2 0.8 0.5 0.2 0.2 0.3 0.1 0.9],0.19856293499469757
0,87,[0.8 0.9 0.2 0.9 0.5 0.2 0.4 0.6 0.6 0.6],0.20087914913892746
0,88,[0.6 1.1 0.2 1.  0.8 0.5 0.5 0.6 1.  0.5],0.2019309103488922
0,89,[0.7 0.3 1.  0.7 1.1 0.3 0.5 1.  0.5 0.4],0.2032887563109398
0,90,[0.6 0.4 0.7 0.4 0.8 0.2 0.  0.4 1.1 1. ],0.20366379618644714
0,91,[0.7 0.9 0.6 0.8 0.7 0.1 0.4 0.3 0.  0. ],0.20958776772022247
0,92,[0.5 0.7 0.1 0.6 0.9 0.7 0.2 1.  0.  0.6],0.2140391394495964
0,93,[1.  0.8 0.7 1.  1.1 0.7 0.5 0.7 0.7 1.1],0.2150891348719597
0,94,[0.1 0.4 0.1 1.  0.2 0.3 0.  1.1 0.3 0.4],0.21569444984197617
0,95,[0.1 1.1 0.9 0.4 1.1 0.4 0.2 0.9 0.4 0.5],0.21588978171348572
0,96,[0.9 0.2 0.9 1.  1.  0.5 0.6 1.  0.8 0.6],0.21746035665273666
0,97,[0.4 0.5 0.1 0.8 0.6 0.2 0.3 0.  0.2 0.5],0.21814590692520142
0,98,[0.6 0.3 0.5 0.8 0.9 0.4 0.6 0.9 0.4 0.8],0.21967300027608871
0,99,[0.3 0.1 0.6 0.6 1.  0.6 0.3 0.9 1.1 1.1],0.2200322449207306
0,100,[0.3 0.7 0.2 0.6 0.8 0.1 0.6 0.6 0.6 0.2],0.22039928287267685
0,101,[0.1 0.9 0.7 0.8 0.8 0.3 0.5 0.8 0.2 0.9],0.2205498293042183
0,102,[0.2 0.6 1.  0.7 1.1 0.2 0.6 1.1 0.9 0.4],0.22072676569223404
0,103,[0.6 0.2 0.8 0.9 0.4 0.  0.2 1.  0.2 0.9],0.22205976396799088
0,104,[0.2 0.5 0.1 0.9 1.1 0.8 0.1 0.2 0.1 0.1],0.2225557193160057
0,105,[0.8 0.  1.1 1.  0.8 0.3 0.3 1.  0.3 0.7],0.22263558954000473
0,106,[0.6 0.8 0.1 0.4 0.8 0.3 0.3 1.1 0.1 0.8],0.22286465764045715
0,107,[0.7 1.  0.6 0.9 0.9 0.2 0.6 0.2 0.1 0.9],0.22307205200195312
0,108,[0.2 1.1 0.9 0.  0.9 0.1 0.  1.  1.1 0.2],0.22352182120084763
0,109,[0.5 0.5 0.5 0.9 0.4 0.  0.4 0.6 0.  0.8],0.22463738173246384
0,110,[0.3 0.2 0.1 0.6 0.6 0.4 0.1 0.3 1.1 0.3],0.22734466195106506
0,111,[0.9 0.1 0.2 0.9 1.  0.7 0.6 0.9 0.6 0.2],0.22913822531700134
0,112,[0.8 0.7 0.7 0.3 0.9 0.3 0.2 1.  0.1 0.6],0.23021376878023148
0,113,[0.9 0.3 0.8 0.9 0.7 0.4 0.3 0.9 0.5 0.8],0.23030845075845718
0,114,[0.1 0.8 1.  0.9 0.6 0.1 0.3 1.  0.4 0.3],0.23200707882642746
0,115,[0.5 1.1 0.1 1.  1.  0.7 0.7 1.  0.6 0.8],0.23302793502807617
0,116,[1.  0.9 0.2 1.1 0.5 0.4 0.3 0.5 0.5 0.2],0.23349324613809586
0,117,[0.5 1.  0.  0.4 1.  0.3 0.4 1.1 0.8 0.1],0.23421034216880798
0,118,[0.8 0.7 0.2 0.9 0.8 0.5 0.  0.  0.  0.1],0.23771440982818604
0,119,[1.1 0.6 0.4 0.9 0.7 0.2 0.7 1.  0.7 0.7],0.23773035407066345
0,120,[0.  0.8 0.  0.9 1.1 0.5 0.8 0.9 0.7 0.4],0.23790785670280457
0,121,[1.  0.3 0.4 0.5 0.7 0.4 0.  0.3 0.7 0.2],0.23811884969472885
0,122,[0.9 0.7 0.  0.9 1.  0.6 0.7 1.  1.1 0.7],0.23812255263328552
0,123,[0.8 0.3 0.  0.9 1.1 0.5 0.8 0.7 0.  0.3],0.23944558948278427
0,124,[0.2 0.3 0.4 0.8 0.8 0.7 0.3 0.9 0.3 0.6],0.24130826443433762
0,125,[0.3 1.1 1.  1.  0.5 0.  0.3 1.1 0.7 1.1],0.24175626784563065
0,126,[0.5 0.8 0.6 1.  1.1 0.5 0.3 0.  1.1 0.2],0.24218154698610306
0,127,[0.7 0.6 0.4 0.2 1.1 0.3 0.3 0.5 0.7 0. ],0.24218261986970901
0,128,[0.8 1.1 0.6 0.2 1.1 0.4 0.1 0.4 0.8 0.7],0.24425412714481354
0,129,[0.8 0.7 1.  1.  1.1 0.1 0.9 1.1 0.9 0.3],0.24437162280082703
0,130,[1.  0.3 0.8 1.  0.8 0.6 0.4 1.1 1.1 0.2],0.2449740245938301
0,131,[0.3 0.4 0.  0.8 0.9 1.  0.  0.9 1.1 1.1],0.24526755511760712
0,132,[0.7 0.7 0.5 1.  0.5 0.4 0.2 0.7 0.5 0.4],0.24598664045333862
0,133,[1.1 0.7 0.  0.6 0.2 0.2 0.1 0.7 0.1 0.9],0.24736008793115616
0,134,[0.8 0.1 1.  0.6 0.8 0.2 0.1 0.4 0.5 0.3],0.24879547208547592
0,135,[0.4 0.5 0.6 0.7 0.9 0.2 0.6 0.2 1.1 1.1],0.2512998953461647
0,136,[0.3 0.9 0.8 0.4 0.7 0.1 0.3 0.7 0.7 0.9],0.25173696130514145
0,137,[0.6 1.  0.8 1.  0.9 0.4 0.2 0.2 0.2 0.7],0.25337157398462296
0,138,[0.  1.  0.8 0.6 0.8 0.2 0.1 0.1 0.2 0.2],0.254010833799839
0,139,[0.1 0.5 0.6 0.4 0.5 0.  0.2 0.2 0.5 0.3],0.2549622878432274
0,140,[0.  0.5 0.9 0.2 1.1 0.2 0.3 0.8 1.1 0.4],0.25503408908843994
0,141,[1.1 0.5 0.5 0.2 0.6 0.1 0.2 0.3 0.4 0.1],0.2552739828824997
0,142,[0.8 0.5 0.6 0.2 0.5 0.1 0.  0.3 0.1 0.9],0.2564146965742111
0,143,[0.9 0.4 0.3 0.1 1.1 0.  0.5 0.4 0.3 0.2],0.25664159655570984
0,144,[0.7 0.6 0.2 0.9 0.3 0.4 0.1 0.8 0.8 0.6],0.25671718269586563
0,145,[0.8 0.5 0.8 0.9 0.6 0.3 0.2 0.6 0.8 0.6],0.2570866346359253
0,146,[0.4 0.3 0.2 0.8 0.5 0.3 0.5 1.  0.3 0.2],0.2579745054244995
0,147,[0.  0.3 0.9 1.  0.7 0.5 0.3 1.  0.1 1.1],0.25798651576042175
0,148,[0.8 0.5 1.1 0.8 1.1 0.  0.8 0.6 0.7 0. ],0.2580443173646927
0,149,[0.3 0.3 1.1 0.9 1.  0.4 0.1 0.4 0.9 0.6],0.258334644138813
0,150,[1.1 0.9 0.2 1.1 0.2 0.1 0.  0.2 0.9 0.9],0.2589434012770653
0,151,[0.  0.8 0.3 0.7 1.  0.2 0.8 0.8 1.1 0.5],0.2590058222413063
0,152,[0.7 0.4 0.1 0.9 0.6 0.7 0.1 0.6 0.5 0.3],0.2600892037153244
0,153,[0.4 0.6 0.1 0.3 1.1 0.8 0.  0.7 0.  1.1],0.2621612697839737
0,154,[0.  0.9 0.  0.8 0.7 0.6 0.4 0.5 0.3 1.1],0.2638695538043976
0,155,[0.2 0.2 0.  0.4 0.7 0.5 0.2 1.  0.5 1.1],0.26398882269859314
0,156,[1.  0.4 0.6 0.9 1.  0.7 0.4 0.4 0.2 0.6],0.26409897208213806
0,157,[0.  0.6 1.  0.3 0.9 0.  0.3 0.2 0.3 0.7],0.26447099447250366
0,158,[1.1 0.6 0.3 0.6 1.1 0.8 0.4 0.8 0.8 1.1],0.26504096388816833
0,159,[0.3 0.3 0.5 1.1 0.9 0.9 0.4 0.9 0.9 0.1],0.2655180096626282
0,160,[0.4 1.1 0.8 0.6 0.8 0.1 0.4 0.1 0.4 1. ],0.2661557197570801
0,161,[1.1 0.7 1.1 0.8 1.1 0.4 0.5 0.4 0.3 0.2],0.26660874485969543
0,162,[1.  0.7 0.  0.9 0.1 0.3 0.1 1.  0.6 0.2],0.26663902401924133
0,163,[0.7 0.3 0.2 0.6 0.2 0.  0.3 0.7 0.8 0. ],0.26672881841659546
0,164,[0.4 0.8 0.  0.9 0.1 0.3 0.1 0.9 0.2 1. ],0.2669987231492996
0,165,[0.4 0.1 0.1 0.1 0.6 0.3 0.  0.4 0.6 1.1],0.267247274518013
0,166,[0.5 0.8 0.7 0.8 0.9 0.  0.8 0.2 0.6 0.9],0.2676565796136856
0,167,[0.9 0.7 0.4 0.6 1.1 0.8 0.2 0.4 0.6 0.7],0.26779650151729584
0,168,[0.6 1.1 0.5 1.  1.  1.  0.4 1.  1.  1. ],0.26885292679071426
0,169,[0.5 0.  0.1 0.9 0.3 0.5 0.1 0.9 0.8 0.9],0.26989585161209106
0,170,[0.  0.2 0.1 0.9 0.1 0.1 0.2 0.5 1.  0.2],0.27098357677459717
0,171,[0.9 0.3 0.3 1.1 0.5 0.7 0.2 1.1 0.6 0. ],0.2715744376182556
0,172,[0.4 0.1 0.  0.5 0.5 0.4 0.2 0.5 0.6 0.3],0.27250078320503235
0,173,[0.3 0.7 0.  0.9 0.9 0.7 0.6 0.5 0.2 0.7],0.27388477325439453
0,174,[0.1 1.  0.  0.2 0.9 0.2 0.4 0.8 0.8 1. ],0.2739337235689163
0,175,[0.9 0.8 0.  1.1 0.6 0.1 0.9 0.4 0.8 0. ],0.27429722994565964
0,176,[0.4 1.  0.8 1.1 0.6 0.3 0.4 0.6 1.  1.1],0.2745326906442642
0,177,[0.1 0.8 0.2 0.4 0.1 0.  0.  0.3 0.6 0.2],0.2756653502583504
0,178,[0.2 0.4 0.6 1.1 0.4 0.5 0.  1.1 0.2 0.5],0.2760513573884964
0,179,[0.6 0.8 0.3 0.8 0.7 0.8 0.  0.7 0.7 0.4],0.2761429250240326
0,180,[1.1 0.5 0.  0.8 0.8 0.4 0.7 0.4 0.6 0.7],0.2770572155714035
0,181,[0.9 0.1 0.2 0.7 1.1 0.7 0.4 0.1 0.  1.1],0.2773934602737427
0,182,[1.1 0.4 0.6 0.1 1.1 0.4 0.2 0.8 0.3 0.1],0.27801525592803955
0,183,[0.4 1.1 0.8 1.  0.5 0.1 0.6 1.1 0.3 0.4],0.27853964269161224
0,184,[0.  1.  1.1 0.8 0.9 0.5 0.  0.6 0.5 0.3],0.28076907992362976
0,185,[0.2 1.1 0.  1.1 0.7 0.  1.  0.2 0.6 1.1],0.282439187169075
0,186,[0.7 0.9 0.9 0.8 0.7 0.  0.7 0.7 0.5 0.4],0.2825077325105667
0,187,[0.5 0.1 0.6 0.9 0.6 0.3 0.3 0.2 0.  1.1],0.28305181860923767
0,188,[0.9 1.1 0.6 0.5 0.8 0.7 0.1 1.  0.2 0.7],0.2843944728374481
0,189,[0.6 0.1 0.4 0.8 0.5 0.2 0.6 1.1 0.  0.8],0.2853813022375107
0,190,[1.1 0.8 0.4 0.8 0.9 0.6 0.6 0.5 0.2 0.4],0.2860366255044937
0,191,[0.9 1.  0.  0.7 0.4 0.6 0.1 0.9 1.  0.8],0.28668539226055145
0,192,[0.9 0.1 0.5 0.3 0.5 0.1 0.1 0.  0.2 0.3],0.29092657566070557
0,193,[1.1 0.1 0.  0.6 0.9 0.3 0.7 0.3 0.  0. ],0.29153457283973694
0,194,[0.  0.2 0.  0.8 0.9 0.6 0.7 1.  0.2 0.7],0.29185958206653595
0,195,[0.5 0.7 0.4 1.  0.3 0.4 0.2 0.8 0.1 0.7],0.2918739765882492
0,196,[1.  0.4 0.4 0.7 0.9 0.9 0.2 0.8 1.  0. ],0.2929888218641281
0,197,[0.6 0.5 0.  1.1 0.  0.1 0.1 0.2 1.  0.5],0.29302072525024414
0,198,[0.  0.  0.7 1.  1.1 0.1 1.  0.  0.8 0.2],0.2942527085542679
0,199,[0.9 1.1 0.7 0.6 0.7 0.4 0.1 0.3 1.1 0.4],0.2944541424512863
0,200,[0.1 0.2 0.7 1.  0.5 0.5 0.2 0.9 1.  0.8],0.2950136512517929
0,201,[0.7 0.1 1.  0.5 1.  0.5 0.4 0.8 0.  0.8],0.2954038679599762
0,202,[0.6 0.9 0.6 0.9 0.5 0.5 0.3 0.9 0.6 1. ],0.2954915314912796
0,203,[0.  0.  0.6 0.  0.7 0.  0.3 0.  0.1 0.2],0.2958236187696457
0,204,[1.  0.4 1.  0.4 0.7 0.1 0.2 0.3 0.  0.8],0.29588305950164795
0,205,[0.4 1.  0.8 0.6 1.  0.4 0.4 0.1 0.5 0.2],0.29609961807727814
0,206,[0.3 0.7 0.6 0.  0.5 0.1 0.1 0.9 0.4 0.6],0.2965398132801056
0,207,[0.4 0.8 0.6 0.9 0.4 0.2 0.5 0.8 0.5 1. ],0.2968607097864151
0,208,[0.9 0.9 0.4 0.5 0.5 0.2 0.4 1.1 1.1 0.5],0.297513484954834
0,209,[0.4 0.1 0.2 1.  0.7 0.8 0.4 0.7 0.7 0.5],0.2981113791465759
0,210,[0.5 0.4 0.8 0.9 0.8 0.5 0.6 0.7 0.9 0.2],0.29902753233909607
0,211,[0.5 0.9 0.  1.1 1.  0.3 1.1 0.8 0.1 0.5],0.2993183732032776
0,212,[0.8 0.8 0.2 0.4 0.6 0.5 0.2 1.1 0.3 0.2],0.30057281255722046
0,213,[0.3 0.1 0.8 0.9 0.6 0.1 0.7 0.6 0.7 1. ],0.3011789172887802
0,214,[0.3 0.5 1.  0.8 0.6 0.  0.2 0.1 0.1 0.8],0.30125387012958527
0,215,[0.9 0.6 1.  0.6 1.1 0.5 0.4 0.3 0.4 0.4],0.3014095723628998
0,216,[0.8 0.1 0.  0.6 0.6 0.5 0.1 0.  0.4 0. ],0.30276429653167725
0,217,[0.8 0.7 0.2 0.  0.9 0.3 0.2 0.8 1.1 0.5],0.3041350394487381
0,218,[0.1 0.7 1.1 0.5 1.  0.2 0.2 0.  0.4 0.6],0.3051767498254776
0,219,[0.7 0.7 1.  0.8 0.7 0.3 0.5 0.7 0.5 0. ],0.3065844625234604
0,220,[0.9 0.7 0.1 1.  0.7 0.1 1.  0.5 0.5 0.1],0.30764158070087433
0,221,[0.4 0.9 1.  0.9 0.6 0.  0.7 1.1 0.8 1.1],0.307841494679451
0,222,[0.2 0.  0.2 0.1 0.7 0.2 0.3 0.3 1.1 0. ],0.30872388184070587
0,223,[0.3 0.  0.  0.7 0.6 0.4 0.5 0.2 1.  0.9],0.3100430965423584
0,224,[1.  0.2 1.  1.1 1.  0.4 1.  1.1 0.  0.5],0.31065720319747925
0,225,[0.9 0.1 1.  0.7 0.4 0.2 0.  0.9 1.1 0.9],0.3108520656824112
0,226,[0.4 0.5 1.  1.1 0.9 0.7 0.4 0.7 0.9 0.6],0.31110578775405884
0,227,[0.  0.8 0.2 0.5 0.7 0.2 0.6 0.2 0.6 0. ],0.3117038607597351
0,228,[1.  1.  0.1 0.9 0.6 0.1 0.9 0.6 0.2 0.2],0.31264494359493256
0,229,[0.6 0.3 0.7 1.  1.  0.6 0.2 0.  1.  0. ],0.3129417896270752
0,230,[0.8 0.4 0.9 1.  1.  0.1 0.9 0.  0.4 0.2],0.3134486675262451
0,231,[0.9 0.4 0.4 0.4 1.1 0.4 0.6 0.3 0.3 0.2],0.31402118504047394
0,232,[0.3 0.1 0.5 0.8 0.9 0.8 0.1 0.3 0.9 0.9],0.31502583622932434
0,233,[0.7 0.2 0.7 1.1 0.9 1.1 0.1 1.1 0.2 1. ],0.31626781821250916
0,234,[0.4 0.1 0.2 1.  0.2 0.5 0.2 1.1 0.2 0.5],0.31674525141716003
0,235,[1.  0.7 0.  1.1 0.6 1.  0.  0.8 0.3 0. ],0.31850023567676544
0,236,[0.4 1.1 0.8 0.3 0.6 0.1 0.  0.  0.7 1. ],0.31850795447826385
0,237,[0.8 0.  0.9 1.1 1.  0.8 0.  0.5 0.5 0.1],0.3185746967792511
0,238,[0.7 0.7 0.2 1.1 0.9 0.7 0.9 0.7 0.8 0.8],0.3188290446996689
0,239,[0.6 0.  0.5 1.1 0.9 0.3 1.1 0.8 0.8 0.8],0.3188786953687668
0,240,[1.  0.3 0.3 1.1 0.4 0.4 0.  0.1 0.8 0.2],0.3196728825569153
0,241,[0.6 0.9 0.5 0.9 0.4 0.1 0.7 0.9 0.4 0.8],0.3197566270828247
0,242,[0.4 0.7 0.6 1.1 0.7 0.7 0.3 0.5 0.  0.9],0.3207547813653946
0,243,[0.6 0.8 0.  0.5 1.  0.5 0.6 0.3 0.3 0.6],0.32091911137104034
0,244,[0.9 0.8 0.6 1.1 0.6 0.7 0.5 1.1 0.5 0.8],0.321532279253006
0,245,[0.4 0.7 0.1 1.1 1.1 1.1 0.6 0.5 0.5 0.9],0.32345573604106903
0,246,[0.5 0.1 1.1 1.1 1.  0.  1.  0.2 1.  1. ],0.32387010753154755
0,247,[0.7 0.7 1.1 0.2 1.1 0.3 0.3 0.4 0.2 1.1],0.3247992545366287
0,248,[0.9 0.9 0.8 0.5 0.5 0.  0.5 0.8 1.  0.2],0.3253946155309677
0,249,[0.5 0.3 0.7 0.5 1.  0.2 0.7 0.1 0.5 0.2],0.3259212225675583
0,250,[0.8 1.  1.  0.9 1.1 0.8 0.3 0.4 0.1 1.1],0.327521413564682
0,251,[0.2 0.8 0.8 1.  0.2 0.1 0.3 1.  0.1 0.8],0.327980175614357
0,252,[0.7 0.7 0.8 0.9 0.9 0.3 0.7 0.  0.7 0.4],0.32828524708747864
0,253,[0.1 0.3 0.  1.  0.9 0.3 1.  0.  0.6 0. ],0.3293820023536682
0,254,[0.6 0.1 0.8 0.8 1.1 0.9 0.2 0.4 0.6 0. ],0.32986927032470703
0,255,[1.1 0.9 0.6 1.  0.4 0.4 0.4 0.7 0.4 0.1],0.32989904284477234
0,256,[0.2 1.  0.6 1.  0.8 0.9 0.5 1.  0.3 0.2],0.3311529904603958
0,257,[0.6 0.8 0.5 0.1 0.7 0.1 0.4 0.2 0.7 0.9],0.331941694021225
