Parameter,Value
level_inf,0
level_sup,1.2
inter,False
step,0.1
lim_inf,-4
lim_sup,4
step_domain,800
dna_length,10
input_size,1
hidden_size,12
output_size,1
epochs,50
lr,0.01
seed,20
pop_size,1200
N_gens,50
set_k,12
cross_method,Crossover_prof
one_point,2
length_per,10
mut_method,Flip_Bit_Mutation
hm_flip,2
hm_swap,2
likely_per,60
mut_per,60
cross_per,1080
Generation,Individual,Genome,Score
0,0,[0.7 0.  0.  0.8 0.9 0.  0.  0.8 0.4 1. ],0.020764760673046112
0,1,[0.2 0.4 0.2 0.7 1.  0.  0.1 0.4 0.5 0.4],0.05739959888160229
0,2,[0.5 0.6 0.3 0.5 1.  0.  0.  1.1 0.9 0.5],0.06107390858232975
0,3,[0.8 0.1 0.2 1.  0.6 0.  0.  1.1 0.5 0.7],0.06282208114862442
0,4,[1.1 0.3 0.2 0.5 0.9 0.1 0.  1.1 0.4 0.1],0.06448881141841412
0,5,[0.3 1.1 0.1 1.  0.9 0.2 0.  0.4 0.9 0.5],0.07328391075134277
0,6,[0.6 1.  0.4 0.8 1.  0.3 0.1 0.9 0.3 0.8],0.07369736582040787
0,7,[0.1 0.1 0.4 0.9 1.  0.2 0.3 1.  1.  0.2],0.075167927891016
0,8,[0.5 0.  0.6 0.8 1.1 0.2 0.1 0.7 0.6 0.5],0.07759357988834381
0,9,[0.1 0.7 0.6 0.7 1.  0.2 0.  1.1 0.8 1.1],0.07839824631810188
0,10,[0.1 1.  0.3 0.8 1.1 0.2 0.  0.3 0.3 1. ],0.08150729909539223
0,11,[0.  0.  0.4 1.  1.  0.  0.2 0.3 0.6 0.5],0.08298647776246071
0,12,[0.3 0.  0.3 1.  1.  0.5 0.2 1.1 0.3 0.2],0.08381979167461395
0,13,[0.8 0.1 0.2 1.  0.7 0.2 0.2 1.1 0.8 0.7],0.08801713585853577
0,14,[0.7 0.1 0.  0.7 0.7 0.1 0.2 0.9 0.4 0.1],0.08841516077518463
0,15,[0.5 0.1 0.2 0.5 0.5 0.  0.  0.8 0.3 1. ],0.09455368667840958
0,16,[0.7 0.8 0.  1.1 1.1 0.3 0.4 0.3 0.4 1.1],0.096719179302454
0,17,[0.5 0.  0.4 0.8 0.9 0.1 0.2 0.4 0.9 1. ],0.1007925271987915
0,18,[0.8 0.1 0.2 0.7 0.8 0.  0.2 0.2 0.  0.1],0.10407877340912819
0,19,[0.4 0.5 0.1 0.7 1.  0.1 0.4 0.8 0.8 1. ],0.10456867143511772
0,20,[0.1 0.6 0.3 1.1 1.1 0.7 0.3 1.  0.3 0.1],0.11220479011535645
0,21,[0.2 1.1 0.3 1.1 0.9 0.  0.6 0.9 0.3 0.4],0.11346254497766495
0,22,[0.5 0.1 0.3 0.9 0.7 0.  0.4 0.9 0.3 0.1],0.11540961265563965
0,23,[1.1 0.3 0.4 0.9 1.  0.  0.4 0.2 0.8 0.7],0.11606325209140778
0,24,[0.4 0.6 0.3 1.1 0.6 0.  0.3 0.6 0.3 0.8],0.12056811898946762
0,25,[0.6 1.1 0.7 1.  1.  0.4 0.2 0.9 0.8 1. ],0.12154495716094971
0,26,[0.7 0.7 0.2 0.7 0.6 0.2 0.1 0.9 0.9 0.4],0.12404398992657661
